- Manilla VIP | Description: Manilla tipo VIP para eventos
- Pad Mouse Ergonómico | Description: Precios 2025
- Pad Mouse Plano | Description: Precios 2025
- Llavero Plastisol | Description: Llavero en plastisol. Tamaño máximo incluido 6x4cm; medidas mayores o troqueles especiales tienen costo adicional.
- Llavero Manilla con Jinsus | Description: Llavero tipo manilla, medidas 1.5cm de ancho, 21cm de largo total, armado 10.5cm.
- Servicio de Tampografía sobre Llavero (cliente suministra el llavero) | Description: Marcación 1 tinta sobre llavero liso provisto por el cliente.
- Manilla Plastisol | Description: Manilla en plastisol con marcación.
- Servicio de Tampografía sobre Manilla Lisa (cliente suministra la manilla) | Description: Marcación 1 tinta sobre manilla lisa provista por el cliente.
- Manilla Cerrada Silicona Grabada | Description: null
- Manilla Cerrada Silicona Impresa | Description: null
- Botón 2,5 cm | Description: Botón publicitario tamaño 2,5 cm
- Botón 3,2 cm | Description: Botón publicitario tamaño 3,2 cm
- Botón 4,5 cm | Description: Botón publicitario tamaño 4,5 cm
- Botón 5,5 cm | Description: Botón publicitario tamaño 5,5 cm
- Botón 6,5 cm | Description: Botón publicitario tamaño 6,5 cm
- Botón 7,5 cm | Description: Botón publicitario tamaño 7,5 cm
- Botón 8,5 cm | Description: Botón publicitario tamaño 8,5 cm
- Carnet en Rígido | Description: null
- Abanico Publicitario | Description: Abanico personalizado con impresión.
- Caja Blanca | Description: Complemento opcional para abanicos.
- Caja Personalizada | Description: Complemento opcional para abanicos.
- Bolsa Plástica Individual | Description: Complemento opcional para abanicos.
- Bolsa en tela blanca | Description: Complemento opcional para abanicos.
- Bolsa en tela blanca con marca a 1 cara | Description: Complemento opcional para abanicos.
- Bolsa en tela negra con marca a 1 cara | Description: Complemento opcional para abanicos.
- Aromatización (fresa, coco, talco o chicle) | Description: Complemento opcional para abanicos.
- Abanico sin impresión, tela blanca | Description: Abanico en blanco, sin marcar.
- Billetera Financiera | Description: null
- Retablo 21.5x14 cm | Description: Retablo pintado.
- Retablo 20x30 cm | Description: Retablo pintado.
- Retablo 21.5x28 cm | Description: Retablo pintado.
- Retablo 21.5x33 cm | Description: Retablo pintado.
- Retablo 25x35 cm | Description: Retablo pintado.
- Retablo 30x30 cm | Description: Retablo pintado.
- Retablo 30x40 cm | Description: Retablo pintado.
