id,carpeta,referencia,nombre,categoria,subcategoria,imagen_principal,n_imagenes,vista360,enlace
1,"0001_VA-666__Chaqueta_Urban_Travel_Wear","VA-666","Chaqueta Urban Travel Wear","CONFECCIONES","Chaquetas (Nacional - Gildan)","principal.jpg",5,"https://catalogospromocionales.com/images/v360/VA-666/index.html?V=6","https://www.catalogospromocionales.com/p/Chaqueta-Urban-Travel-Wear/8155/273"
2,"0002_COMPRIMIDO__Comprimidos_Produccion_Naciona","COMPRIMIDO","Comprimidos - Produccion Nacional","CONFECCIONES","Comprimidos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/COMPRIMIDO/index.html?V=6","https://www.catalogospromocionales.com/p/comprimidos-produccion-nacional/5605/274"
3,"0003_CAP-22__Gorra_Trucker","CAP-22","Gorra Trucker","CONFECCIONES","Gorras","principal.jpg",15,"https://catalogospromocionales.com/images/v360/CAP-22/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-trucker/3502/275"
4,"0004_CAP-13__Gorra_Golf","CAP-13","Gorra Golf","CONFECCIONES","Gorras","principal.jpg",8,"https://catalogospromocionales.com/images/v360/CAP-13/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-golf/471/275"
5,"0005_CAP-16__Gorra_Eco_6_cascos","CAP-16","Gorra Eco - 6 cascos","CONFECCIONES","Gorras","principal.jpg",8,"https://catalogospromocionales.com/images/v360/CAP-16/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-eco-6-cascos/1082/275"
6,"0006_CAP-20__Gorra_Emergency","CAP-20","Gorra Emergency","CONFECCIONES","Gorras","principal.jpg",4,"https://catalogospromocionales.com/images/v360/CAP-20/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-emergency/5887/275"
7,"0007_CAP-26__Gorra_Mesh","CAP-26","Gorra Mesh","CONFECCIONES","Gorras","principal.jpg",6,"https://catalogospromocionales.com/images/v360/CAP-26/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-mesh/7374/275"
8,"0008_CAP-27__Gorra_Modena","CAP-27","Gorra Modena","CONFECCIONES","Gorras","principal.jpg",12,"https://catalogospromocionales.com/images/v360/CAP-27/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-modena/7375/275"
9,"0009_COMPRIMIDO__Comprimidos_Produccion_Naciona","COMPRIMIDO","Comprimidos - Produccion Nacional","CONFECCIONES","Toallas","principal.jpg",3,"https://catalogospromocionales.com/images/v360/COMPRIMIDO/index.html?V=6","https://www.catalogospromocionales.com/p/comprimidos-produccion-nacional/5605/276"
10,"0010_HO-64__Pa_o_en_Microfibra","HO-64","Paño en Microfibra","CONFECCIONES","Toallas","principal.jpg",10,"https://catalogospromocionales.com/images/v360/HO-64/index.html?V=6","https://www.catalogospromocionales.com/p/pano-en-microfibra/3192/276"
11,"0011_CP-202__Toalla_Cool_Sport","CP-202","Toalla Cool Sport","CONFECCIONES","Toallas","principal.jpg",7,"https://catalogospromocionales.com/images/v360/CP-202/index.html?V=6","https://www.catalogospromocionales.com/p/Toalla-Cool-Sport/7968/276"
12,"0012_CP-203__Toalla_en_Microfibra_Multiusos","CP-203","Toalla en Microfibra Multiusos","CONFECCIONES","Toallas","principal.jpg",9,"https://catalogospromocionales.com/images/v360/CP-203/index.html?V=6","https://www.catalogospromocionales.com/p/Toalla-en-Microfibra-Multiusos/8688/276"
13,"0013_CP-168__Toalla_Golf_Toalla_de_mano_Tun","CP-168","Toalla Golf /Toalla de mano Tundida (acabado fino)","CONFECCIONES","Toallas","principal.jpg",4,"https://catalogospromocionales.com/images/v360/CP-168/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-golf-toalla-de-mano-tundida-acabado-fino/7379/276"
14,"0014_CP-189__Toalla_Cool_Sport_Con_Estuche","CP-189","Toalla Cool Sport Con Estuche","CONFECCIONES","Toallas","principal.jpg",7,"https://catalogospromocionales.com/images/v360/CP-189/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-cool-sport-con-estuche/7956/276"
15,"0015_CP-59__Set_de_Toallitas_Multiusos","CP-59","Set de Toallitas Multiusos","CONFECCIONES","Toallas","principal.jpg",2,"https://catalogospromocionales.com/images/v360/CP-59/index.html?V=6","https://www.catalogospromocionales.com/p/set-de-toallitas-multiusos/3641/276"
16,"0016_TOALLAS__Toallas_100_algod_n_Producci_n","TOALLAS","Toallas 100% algodón - Producción Nacional","CONFECCIONES","Toallas","principal.jpg",2,"https://catalogospromocionales.com/images/v360/TOALLAS/index.html?V=6","https://www.catalogospromocionales.com/p/toallas-100-algodon-produccion-nacional/7689/276"
17,"0017_CP-263__Toalla_Cool_Sport_Box","CP-263","Toalla Cool Sport Box","CONFECCIONES","Toallas","principal.jpg",3,"https://catalogospromocionales.com/images/v360/CP-263/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-cool-sport-box/9524/276"
18,"0018_CAP-22__Gorra_Trucker","CAP-22","Gorra Trucker","CONFECCIONES","Todos","principal.jpg",15,"https://catalogospromocionales.com/images/v360/CAP-22/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-trucker/3502/12"
19,"0019_CAP-13__Gorra_Golf","CAP-13","Gorra Golf","CONFECCIONES","Todos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/CAP-13/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-golf/471/12"
20,"0020_CAP-16__Gorra_Eco_6_cascos","CAP-16","Gorra Eco - 6 cascos","CONFECCIONES","Todos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/CAP-16/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-eco-6-cascos/1082/12"
21,"0021_CAP-20__Gorra_Emergency","CAP-20","Gorra Emergency","CONFECCIONES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/CAP-20/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-emergency/5887/12"
22,"0022_COMPRIMIDO__Comprimidos_Produccion_Naciona","COMPRIMIDO","Comprimidos - Produccion Nacional","CONFECCIONES","Todos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/COMPRIMIDO/index.html?V=6","https://www.catalogospromocionales.com/p/comprimidos-produccion-nacional/5605/12"
23,"0023_CAP-26__Gorra_Mesh","CAP-26","Gorra Mesh","CONFECCIONES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/CAP-26/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-mesh/7374/12"
24,"0024_CAP-27__Gorra_Modena","CAP-27","Gorra Modena","CONFECCIONES","Todos","principal.jpg",12,"https://catalogospromocionales.com/images/v360/CAP-27/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-modena/7375/12"
25,"0025_VA-666__Chaqueta_Urban_Travel_Wear","VA-666","Chaqueta Urban Travel Wear","CONFECCIONES","Todos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/VA-666/index.html?V=6","https://www.catalogospromocionales.com/p/Chaqueta-Urban-Travel-Wear/8155/12"
26,"0026_CP-189__Toalla_Cool_Sport_Con_Estuche","CP-189","Toalla Cool Sport Con Estuche","CONFECCIONES","Todos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/CP-189/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-cool-sport-con-estuche/7956/12"
27,"0027_CP-202__Toalla_Cool_Sport","CP-202","Toalla Cool Sport","CONFECCIONES","Todos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/CP-202/index.html?V=6","https://www.catalogospromocionales.com/p/Toalla-Cool-Sport/7968/12"
28,"0028_HO-64__Pa_o_en_Microfibra","HO-64","Paño en Microfibra","CONFECCIONES","Todos","principal.jpg",10,"https://catalogospromocionales.com/images/v360/HO-64/index.html?V=6","https://www.catalogospromocionales.com/p/pano-en-microfibra/3192/12"
29,"0029_CP-203__Toalla_en_Microfibra_Multiusos","CP-203","Toalla en Microfibra Multiusos","CONFECCIONES","Todos","principal.jpg",9,"https://catalogospromocionales.com/images/v360/CP-203/index.html?V=6","https://www.catalogospromocionales.com/p/Toalla-en-Microfibra-Multiusos/8688/12"
30,"0030_CP-204__Cuello_Multifuncional_para_Sub","CP-204","Cuello Multifuncional para Sublimación","CONFECCIONES","Todos","principal.jpg",16,"https://catalogospromocionales.com/images/v360/CP-204/index.html?V=6","https://www.catalogospromocionales.com/p/Cuello-Multifuncional-para-Sublimacion/8689/12"
31,"0031_CP-168__Toalla_Golf_Toalla_de_mano_Tun","CP-168","Toalla Golf /Toalla de mano Tundida (acabado fino)","CONFECCIONES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/CP-168/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-golf-toalla-de-mano-tundida-acabado-fino/7379/12"
32,"0032_TOALLAS__Toallas_100_algod_n_Producci_n","TOALLAS","Toallas 100% algodón - Producción Nacional","CONFECCIONES","Todos","principal.jpg",2,"https://catalogospromocionales.com/images/v360/TOALLAS/index.html?V=6","https://www.catalogospromocionales.com/p/toallas-100-algodon-produccion-nacional/7689/12"
